fecha,banco,monto,cuentas,operaciones,dispositivos_android,dispositivos_ios
2021-04-01,azteca,5923799.5,7569.0,8360.0,8498191.0,2707591.0
2021-05-01,azteca,6184299.0,8802.0,8981.0,8876227.0,2875971.0
2021-06-01,azteca,5888497.0,9339.0,8825.5,9225814.0,3010399.0
2021-07-01,azteca,6513908.5,11678.0,10825.0,9595034.0,3142592.0
2021-08-01,azteca,6513063.0,12010.0,10618.0,10086910.0,3274232.0
2021-09-01,azteca,6682813.5,13366.0,11319.0,10530505.0,3414431.0
2021-10-01,azteca,6901765.5,12575.0,12563.5,10949698.0,3551784.0
2021-11-01,azteca,7585977.5,14420.0,13463.0,11383238.0,3715522.0
2021-12-01,azteca,8433553.5,15526.0,15965.0,11800314.0,3885700.0
2022-01-01,azteca,8153990.5,12908.0,15643.0,12088216.0,4051653.0
2022-02-01,azteca,8345808.5,12514.0,16216.5,12379124.0,4189027.0
2022-03-01,azteca,10284924.5,13438.0,19267.0,12832731.0,4340792.0
2022-04-01,azteca,9612788.0,12001.0,17804.5,13135106.0,4482829.0
2022-05-01,azteca,9873499.0,6963.0,18642.0,13398955.0,4626078.0
2022-06-01,azteca,10383257.5,11449.0,19262.5,13711691.0,4780526.0
2022-07-01,azteca,10827962.0,11159.0,19752.5,13988821.0,4924567.0
2022-08-01,azteca,12416593.0,11988.0,22066.0,14312589.0,5068063.0
2022-09-01,azteca,13205502.0,12693.0,22048.5,14629420.0,5207742.0
2022-10-01,azteca,14047036.0,12786.0,24484.5,14942585.0,5370886.0
2022-11-01,azteca,15544908.0,13026.0,26204.0,15241582.0,5539329.0
2022-12-01,azteca,17581444.5,12436.0,27880.0,15548774.0,5717516.0
2023-01-01,azteca,17049138.0,11771.0,27146.5,15859693.0,5901818.0
2023-02-01,azteca,16430019.0,10922.0,25138.0,16119170.0,6058867.0
2023-03-01,azteca,19611105.5,12108.0,28260.0,16424635.0,6234730.0
2023-04-01,azteca,18988950.0,11896.0,24594.0,16711362.0,6400527.0
2023-05-01,azteca,18413985.5,11433.0,22742.5,17018006.0,6503404.0
2023-06-01,azteca,19424213.5,10620.0,25240.0,17335498.0,6529526.0
2023-07-01,azteca,20341480.5,10902.0,24210.5,17646067.0,6707819.0
2023-08-01,azteca,22402923.5,12655.0,28201.0,17941069.0,6904966.0
2023-09-01,azteca,22243817.0,4477.0,29391.0,18227346.0,7046289.0
2023-10-01,azteca,20934018.5,4699.0,25212.0,18452822.0,7133646.0
2023-11-01,azteca,21525400.5,7221.0,25308.0,18672046.0,7219981.0
2023-12-01,azteca,23689089.0,7323.0,26855.0,18894750.0,7129734.0
2024-01-01,azteca,24220980.5,11184.0,29238.5,19124479.0,7675596.0
2024-02-01,azteca,24234728.0,9077.0,28576.5,19331135.0,7747889.0
2024-03-01,azteca,24377500.5,12176.0,30013.0,19542150.0,7830447.0
2024-04-01,azteca,24923592.0,11589.0,31321.0,19748791.0,7928203.0
2024-05-01,azteca,26770023.0,11143.0,33969.0,19953971.0,8014343.0
2024-06-01,azteca,24728447.5,10053.0,32641.5,20128586.0,8092054.0
2024-07-01,azteca,28503527.0,11101.0,34717.5,20323689.0,8176344.0
2024-08-01,azteca,29838819.0,10748.0,36565.0,20513207.0,8265964.0
2024-09-01,azteca,30346091.5,9766.0,32543.0,20647479.0,8349754.0
2024-10-01,azteca,31629790.5,10345.0,36551.5,20800199.0,8438737.0
2024-11-01,azteca,29067720.5,8890.0,34760.0,20940375.0,8526816.0
2024-12-01,azteca,29808804.0,8289.0,35046.0,21087465.0,8613792.0
2025-01-01,azteca,30192181.5,11063.0,38957.5,21244502.0,8707062.0
2025-02-01,azteca,28561488.0,8155.0,38217.0,21378314.0,8787420.0
2025-03-01,azteca,29612454.0,8125.0,42709.5,21531889.0,8841101.0
2025-04-01,azteca,19199472.0,4914.0,27744.0,21629785.0,8903455.0
